For M5|Adr   111|KD1       17      19.0 C  3 A14|Rb        2.49520 m   |HD          6.264 m   |                      | 
For M5|Adr   112|KD1       18      19.0 C    A14|                      |                      |Z         9.94458 m   | 
For M5|Adr   113|KD1       18      19.0 C  3 A14|Rb        2.27583 m   |HD          6.534 m   |                      | 
For M5|Adr   114|KD1       19      19.0 C  3 A14|Rf        0.27981 m   |HD          7.566 m   |                      | 
For M5|Adr   115|KD1       19      19.0 C  3 A14|Rf        0.27979 m   |HD          7.566 m   |                      | 
For M5|Adr   116|KD1       18      19.0 C  3 A14|Rb        2.27577 m   |HD          6.536 m   |                      | 
For M5|Adr   117|KD1       19      19.0 C    A14|                      |                      |Z        11.94058 m   | 
For M5|Adr   118|KD1       19      19.0 C  3 A14|Rb        2.03816 m   |HD          4.902 m   |                      | 
For M5|Adr   119|KD1       20      19.0 C  3 A14|Rf        0.57376 m   |HD          5.709 m   |                      | 
For M5|Adr   120|KD1       20      19.0 C  3 A14|Rf        0.57376 m   |HD          5.705 m   |                      | 
For M5|Adr   121|KD1       19      19.0 C  3 A14|Rb        2.03815 m   |HD          4.904 m   |                      | 
For M5|Adr   122|KD1       20      19.0 C    A14|                      |                      |Z        13.40498 m   | 
For M5|Adr   123|KD1       20      19.0 C  3 A14|Rb        2.10079 m   |HD          5.003 m   |                      | 
For M5|Adr   124|KD1       21      19.0 C  3 A14|Rf        0.65557 m   |HD          4.407 m   |                      | 
For M5|Adr   125|KD1       21      19.0 C  3 A14|Rf        0.65563 m   |HD          4.403 m   |                      | 
For M5|Adr   126|KD1       20      19.0 C  3 A14|Rb        2.10077 m   |HD          5.007 m   |                      | 
For M5|Adr   127|KD1       21      19.0 C    A14|                      |                      |Z        14.85016 m   | 
For M5|Adr   128|KD1       21      19.0 C  3 A14|Rb        2.01626 m   |HD          4.918 m   |                      | 
For M5|Adr   129|KD1       22      19.0 C  3 A14|Rf        0.31024 m   |HD          5.985 m   |                      | 
For M5|Adr   130|KD1       22##### 19.0 C  3 A14|Rf        0.31027 m   |HD          5.986 m   |                      | 
For M5|Adr   131|TO  Measurement repeated    A14|                      |                      |                      | 
For M5|Adr   132|KD1       22      19.0 C  3 A14|Rf        0.31025 m   |HD          5.985 m   |                      | 
For M5|Adr   133|KD1       21      19.0 C  3 A14|Rb        2.01628 m   |HD          4.919 m   |                      | 
For M5|Adr   134|KD1       22      19.0 C    A14|                      |                      |Z        16.55618 m   | 
For M5|Adr   135|KD1       22      19.0 C  3 A14|Rb        2.32680 m   |HD          5.390 m   |                      | 
For M5|Adr   136|KD1       23      19.0 C  3 A14|Rf        0.32150 m   |HD          5.634 m   |                      | 
For M5|Adr   137|KD1       23      19.0 C  3 A14|Rf        0.32152 m   |HD          5.634 m   |                      | 
For M5|Adr   138|KD1       22      19.0 C  3 A14|Rb        2.32693 m   |HD          5.383 m   |                      | 
For M5|Adr   139|KD1       23      19.0 C    A14|                      |                      |Z        18.56154 m   | 
For M5|Adr   140|KD1       23      19.0 C  3 A14|Rb        2.34384 m   |HD          5.694 m   |                      | 
For M5|Adr   141|KD1       24      19.0 C  3 A14|Rf        0.22136 m   |HD          6.506 m   |                      | 
For M5|Adr   142|KD1       24      19.0 C  3 A14|Rf        0.22138 m   |HD          6.506 m   |                      | 
For M5|Adr   143|KD1       23      19.0 C  3 A14|Rb        2.34389 m   |HD          5.689 m   |                      | 
For M5|Adr   144|KD1       24      19.0 C    A14|                      |                      |Z        20.68403 m   | 
For M5|Adr   145|KD1       24      19.0 C  3 A14|Rb        2.20625 m   |HD          5.326 m   |                      | 
For M5|Adr   146|KD1       25      19.0 C  3 A14|Rf        0.62635 m   |HD          5.115 m   |                      | 
For M5|Adr   147|KD1       25      19.0 C  3 A14|Rf        0.62636 m   |HD          5.115 m   |                      | 
For M5|Adr   148|KD1       24      19.0 C  3 A14|Rb        2.20624 m   |HD          5.329 m   |                      | 
For M5|Adr   149|KD1       25      19.0 C    A14|                      |                      |Z        22.26392 m   | 
For M5|Adr   150|KD1       25      19.0 C  3 A14|Rb        2.98923 m   |HD          2.974 m   |                      | 
For M5|Adr   151|KD1       26      19.0 C  3 A14|Rf        0.38679 m   |HD          3.410 m   |                      | 
For M5|Adr   152|KD1       26      19.0 C  3 A14|Rf        0.38679 m   |HD          3.411 m   |                      | 
For M5|Adr   153|KD1       25      20.0 C  3 A14|Rb        2.98929 m   |HD          2.964 m   |                      | 
For M5|Adr   154|KD1       26      20.0 C    A14|                      |                      |Z        24.86639 m   | 
For M5|Adr   155|KD1       26      20.0 C  3 A14|Rb        2.27218 m   |HD          7.658 m   |                      | 
For M5|Adr   156|KD1       27      20.0 C  3 A14|Rf        1.67441 m   |HD          7.000 m   |                      | 
For M5|Adr   157|KD1       27      20.0 C  3 A14|Rf        1.67432 m   |HD          7.002 m   |                      | 
For M5|Adr   158|KD1       26      20.0 C  3 A14|Rb        2.27216 m   |HD          7.657 m   |                      | 
For M5|Adr   159|KD1       27      20.0 C    A14|                      |                      |Z        25.46419 m   | 
For M5|Adr   160|KD1       27      20.0 C  3 A14|Rb        1.55536 m   |HD          5.001 m   |                      | 
For M5|Adr   161|KD1    FTS08      20.0 C  3 A14|Rf        1.38709 m   |HD          6.784 m   |                      | 
For M5|Adr   162|KD1    FTS08      20.0 C  3 A14|Rf        1.38711 m   |HD          6.785 m   |                      | 
For M5|Adr   163|KD1       27      20.0 C  3 A14|Rb        1.55526 m   |HD          5.003 m   |                      | 
For M5|Adr   164|KD1    FTS08      20.0 C    A14|                      |                      |Z        25.63240 m   | 
For M5|Adr   165|KD1    FTS08                A14|Sh       25.63240 m   |dz      -25.63240 m   |Z         0.00000 m   | 
