For M5|Adr     1|TO  1061218m.dat                |                      |                      |                      For M5|Adr    13|KD1        B      20.0 C  3    |R         0.82754 m   |HD         52.898 m   |                      | 
For M5|Adr   102|KD1        7      22.0 C  3 B01|Rb        0.89798 m   |HD         22.436 m   |                      | 
For M5|Adr   103|KD1        8      22.0 C    B01|                      |                      |Z         1.65120 m   | 
For M5|Adr   104|KD1        8      22.0 C  3 B01|Rb        0.80633 m   |HD         28.329 m   |                      | 
For M5|Adr   105|KD1        9      22.0 C  3 B01|Rf        1.90325 m   |HD         30.628 m   |                      | 
For M5|Adr   106|KD1        9      23.0 C  3 B01|Rf        1.90309 m   |HD         30.615 m   |                      | 
For M5|Adr   107|KD1        8      22.0 C  3 B01|Rb        0.80628 m   |HD         28.341 m   |                      | 
For M5|Adr   108|KD1        9      22.0 C    B01|                      |                      |Z         0.55434 m   | 
For M5|Adr   109|KD1        9      22.0 C  3 B01|Rb        0.78229 m   |HD         33.267 m   |                      | 
For M5|Adr   110|KD1       10      22.0 C  3 B01|Rf        1.81104 m   |HD         34.095 m   |                      | 
For M5|Adr   111|KD1       10##### 22.0 C  3 B01|Rf        1.81150 m   |HD         34.090 m   |                      | 
For M5|Adr   112|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   113|KD1       10      23.0 C  3 B01|Rf        1.81140 m   |HD         34.102 m   |                      | 
For M5|Adr   114|KD1        9      22.0 C  3 B01|Rb        0.78226 m   |HD         33.277 m   |                      | 
For M5|Adr   115|KD1       10      22.0 C    B01|                      |                      |Z        -0.47461 m   | 
For M5|Adr   116|KD1       10      22.0 C  3 B01|Rb        0.62178 m   |HD         34.160 m   |                      | 
For M5|Adr   117|KD1       11      23.0 C  3 B01|Rf        1.63359 m   |HD         35.110 m   |                      | 
For M5|Adr   118|KD1       11      23.0 C  3 B01|Rf        1.63354 m   |HD         35.096 m   |                      | 
For M5|Adr   119|KD1       10      23.0 C  3 B01|Rb        0.62158 m   |HD         34.195 m   |                      | 
For M5|Adr   120|KD1       11      23.0 C    B01|                      |                      |Z        -1.48649 m   | 
For M5|Adr   121|KD1       11##### 23.0 C  3 B01|Rb        1.07723 m   |HD         35.493 m   |                      | 
For M5|Adr   122|TO  Measurement repeated    B01|                      |                      |                      | 
For M5|Adr   123|KD1       11      23.0 C  3 B01|Rb        1.07746 m   |HD         35.497 m   |                      | 
For M5|Adr   124|KD1       12      23.0 C  3 B01|Rf        1.40392 m   |HD         35.496 m   |                      | 
For M5|Adr   125|KD1       12      23.0 C  3 B01|Rf        1.40390 m   |HD         35.485 m   |                      | 
For M5|Adr   126|KD1       11      23.0 C  3 B01|Rb        1.07739 m   |HD         35.501 m   |                      | 
